Comparison	Gene	PVal	FDR	Log2FC	abs	Label	Paradigm
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	SSR4	7.4407331320506e-18	5.9008879053074e-16	0.375450053101491	0.375450053101491	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	FXYD6	7.83893951403953e-18	6.1369851464721e-16	0.271311160918775	0.271311160918775	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	NKTR	8.57993055409951e-18	6.67431158326225e-16	-0.332283970869256	0.332283970869256	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	H1-2	9.14266052827765e-18	7.06704512859841e-16	0.363078068160686	0.363078068160686	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	UQCR10	1.05984579652923e-17	8.14081554277456e-16	0.441248105104827	0.441248105104827	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	PTPRA	1.10950819757538e-17	8.46901476061759e-16	0.318205045933296	0.318205045933296	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	YWHAE	1.17252265087145e-17	8.89442182303911e-16	0.267448821132014	0.267448821132014	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	SELENOK	1.31620214120245e-17	9.92270169784291e-16	0.406213001854423	0.406213001854423	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	HSP90B1	1.40439619231458e-17	1.05226323292871e-15	0.262829146726412	0.262829146726412	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	H3-3B	1.59508526513045e-17	1.18785221603892e-15	0.251364237249696	0.251364237249696	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	DYNC1I2	1.85310121720794e-17	1.37163182822791e-15	0.320925073837712	0.320925073837712	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	HSBP1	2.2704733417049e-17	1.67043921218325e-15	0.35191436920291	0.35191436920291	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	FUS	2.4126978859535e-17	1.76444786114671e-15	-0.269717573945674	0.269717573945674	Young WT Isograft vs Young WT Ctr	Isograft
WT.Adult.CtrlRescue.vs.WT.Adult.Alone	DSTN	2.49534642145684e-17	1.81402772888407e-15	0.329157253639603	0.329157253639603	Young WT Isograft vs Young WT Ctr	Isograft
