TF	Target	Weight
CTCF	MMGT1	1.1936482504029
CTCF	OSBPL8	1.78339258986746
CTCF	SNN	0.412089471346474
CTCF	SERP1	0.655877998670548
CTCF	PCBP2	1.85538319800991
CTCF	CRK	0.671315248528058
CTCF	C2orf49	0.762128378051304
CTCF	SERTAD2	0.403613704211278
CTCF	FAM222A	0.576947077958191
CTCF	BUB3	4.1814618595092
CTCF	E2F6	0.906175371888533
CTCF	CBX1	2.30725059944714
CTCF	HNRNPC	2.85574149038487
CTCF	WASF2	0.902487263708355
CTCF	DDAH1	1.57064717578108
CTCF	TRMT61A	1.45741841658508
CTCF	PAICS	0.579384316667627
CTCF	NCBP2	0.54514003084432
CTCF	C8orf88	1.18898339473392
CTCF	NFKBIB	0.85462597749025
CTCF	SERBP1	1.11217436757953
CTCF	NR2F6	1.33728709973928
CTCF	ACTR3	0.621853902501251
CTCF	CHIC2	1.43342358226161
CTCF	ZNF768	0.413818110315878
CTCF	ACBD3	1.29246459594814
CTCF	CORO1A	0.852763072605322
CTCF	FAM107B	0.72717934321252
CTCF	METTL2A	0.416174973280214
CTCF	SNHG6	1.02688397640328
CTCF	ADORA1	0.500540276011942
CTCF	UBE2M	3.33790071510371
CTCF	ERH	1.24700741905181
CTCF	RPL23A	1.16647813659456
CTCF	MZT1	0.96450359109599
CTCF	METTL21A	0.65684182880378
CTCF	TTLL1	0.529995428472551
CTCF	GLRX5	0.909743339972969
CTCF	VTI1B	0.918573717218928
CTCF	NDUFA8	0.586240300813289
CTCF	CAPZB	0.972590113530619
CTCF	MED11	1.7728043411181
CTCF	NOB1	0.425801738160402
CTCF	BASP1	0.545935000308828
CTCF	MKKS	1.04963362018794
CTCF	UQCC2	0.855373538944793
CTCF	PSMA4	0.876981020562346
CTCF	CARHSP1	0.446010727593478
CTCF	RNF208	0.406004342000978
CTCF	RASSF1	2.73790215116606
CTCF	GNAS	1.60783373058674
CTCF	LSM14A	7.45204986347325
CTCF	PTP4A2	3.03786749693323
CTCF	ATN1	1.89551098688821
CTCF	HMGB1	5.17565473063286
CTCF	HMGB3	1.23927963617358
CTCF	UBE2D2	0.906612158868743
CTCF	RHEB	3.04523852885796
CTCF	KRAS	3.83445929604327
CTCF	FGD5-AS1	2.72407886084922
CTCF	YTHDF2	1.44010386849549
CTCF	SLC40A1	1.79184179611151
CTCF	HMGN2	6.72258846918141
CTCF	ATOH8	0.441339880106054
CTCF	IRF2BP1	0.664922483786489
CTCF	UBE2E3	0.431871548730459
CTCF	WASL	0.947486903283297
CTCF	ANP32A	0.582302737118017
CTCF	EIF4G2	2.48238081818038
CTCF	DEDD	1.66043965785384
CTCF	PPP1CC	0.980144129171633
CTCF	ARF6	1.84736827854572
CTCF	ASF1A	1.75155093709308
CTCF	NAA50	0.731536670698463
CTCF	CALM1	1.59572858297104
CTCF	EIF4EBP2	0.90885653570614
CTCF	PDIK1L	1.33857552254695
CTCF	DUSP26	0.83839356267806
CTCF	SIAH1	1.73005190198027
CTCF	SMARCB1	1.49727167563846
CTCF	TUBB4B	1.34275667639993
CTCF	CREBL2	0.52853030096733
CTCF	PPP2CA	4.7764556710366
CTCF	HNRNPA0	4.82776867751849
CTCF	FAM50A	1.14739507631392
CTCF	SRSF3	5.59418637855348
CTCF	THAP12	1.74660921562708
CTCF	YBX1	2.67115865625488
CTCF	YWHAH	3.05984809506627
CTCF	NFIC	2.99372927024174
CTCF	BOD1	1.21521122930891
CTCF	KCTD6	1.40604872154358
CTCF	RAB10	1.72096035642169
CTCF	LPIN2	0.417927364694436
CTCF	RALY	1.75583496521234
CTCF	SOX21	1.64910476537754
CTCF	TSPAN12	1.07843585979633
CTCF	HMGN3	0.935293764626716
CTCF	RNF139	0.672969515246934
CTCF	BTG3	1.97301700038762
CTCF	ZNF574	0.457683612437131
CTCF	KCNMB4	2.53782650256419
CTCF	LMO1	0.728054082944429
CTCF	DYNC1I2	0.461700554071322
CTCF	MRPL23	0.60539247776043
CTCF	PERP	0.544695139879929
CTCF	CCDC174	0.970459831184167
CTCF	ODC1	0.705133149402324
CTCF	C2orf76	0.427119883244628
CTCF	LSM3	0.744711314604368
CTCF	MRPL13	0.670231628179425
CTCF	TMEM129	1.30921534085856
CTCF	TP53I13	0.699949642050174
CTCF	CRMP1	0.763401370906271
CTCF	C6orf47	1.61438077012924
CTCF	SPATA2	1.12246793349213
CTCF	POLR2G	0.453580348398662
CTCF	TIPRL	0.522070841374363
CTCF	FCF1	0.646119252217009
CTCF	ATG101	1.51762507147502
CTCF	ITPK1	0.601237608096993
CTCF	TMEM187	0.505387773527331
CTCF	PCIF1	2.71649883269242
CTCF	HEXIM2	1.0001970986274
CTCF	RBM3	1.17357273739386
CTCF	RNF26	0.456235251424123
CTCF	SVBP	0.617720522192761
CTCF	B4GALT3	0.43568541744472
CTCF	CWC27	1.10056566184491
CTCF	WIZ	0.569406944345866
CTCF	OCIAD1	1.56350390981257
CTCF	PGM2	0.866203216853147
CTCF	MORF4L1	0.628031602821692
CTCF	OLFM1	0.402928836321063
CTCF	SRP9	0.776358286805221
CTCF	SMC3	1.93218605826571
CTCF	UCP2	0.64373991717241
CTCF	DOHH	0.470625833461737
CTCF	MAZ	2.26351205522024
CTCF	PALM	1.25304381482185
CTCF	CCDC74A	0.872215838055272
CTCF	EIF5	1.63632927663632
CTCF	CCDC124	0.491210126489462
CTCF	KLF13	0.78281757531738
CTCF	TCEA2	0.816129247918093
CTCF	IGFBP2	0.544944212716501
CTCF	SZRD1	1.01599241544537
CTCF	PTMA	0.762200096500789
CTCF	ZNF584	0.64211457324348
CTCF	ATG4D	0.555522496886086
CTCF	MSI1	4.29923316031253
CTCF	C4orf46	1.20284484273215
CTCF	LINC01152	1.54914939241193
CTCF	FZR1	0.552524573737111
CTCF	HNRNPUL1	0.692422605105274
CTCF	SSR2	0.459255042829361
CTCF	NCL	2.29304942292007
CTCF	NFYB	3.23233189417422
CTCF	ARPP19	4.15471659990127
CTCF	CBX5	5.22106015160088
CTCF	ZNF358	1.66413225690101
CTCF	CALM2	1.90420828287345
CTCF	CCND1	2.37498486021376
CTCF	GAREM2	5.86985744305222
CTCF	TMEM159	6.39379128347836
CTCF	SETMAR	5.01280646106552
CTCF	RMI2	0.449138927967387
CTCF	CCM2	0.517793758384282
CTCF	HMGB2	2.00248852867218
CTCF	TYMSOS	0.969400087798409
CTCF	RANBP3	0.790206137909481
CTCF	CDKN3	0.650060015691334
CTCF	CBX3	3.29826158240096
CTCF	MIS12	1.75023168482877
CTCF	PPIA	4.08292248149448
CTCF	KIF2A	2.20004453510832
CTCF	NEURL1B	2.06547340992766
CTCF	CDKN2C	1.18883753014967
CTCF	PSMC3	0.755408434285455
CTCF	CKS1B	4.0222978002818
CTCF	TUBB	5.3982758511809
CTCF	RANBP1	1.56977039237375
CTCF	LGALS1	0.919619165006645
